NumElements 40
NumGroups 1
NumParticlesRan 216000
Spectrum   0 8.55321076682453e+04 3.95981979945580e-01
Group      0
Element    0 5.08666619708499e+05 2.35493805420602e+00
Element    1 6.00914255200245e+05 2.78201044074187e+00
Element    2 6.73461103195246e+05 3.11787547775577e+00
Element    3 7.24272417927980e+05 3.35311304596287e+00
Element    4 7.60324386159675e+05 3.52002030629479e+00
Element    5 7.96091160465304e+05 3.68560722437641e+00
Element    6 8.31421590968809e+05 3.84917403226301e+00
Element    7 8.63471901602889e+05 3.99755510001338e+00
Element    8 8.82876487500961e+05 4.08739114583778e+00
Element    9 9.01417495202393e+05 4.17322914445552e+00
Element   10 9.20555729450552e+05 4.26183208078959e+00
Element   11 9.33546219571204e+05 4.32197323875557e+00
Element   12 9.45049733645366e+05 4.37523024835817e+00
Element   13 9.48591173702007e+05 4.39162580417596e+00
Element   14 9.66292343246117e+05 4.47357566317647e+00
Element   15 9.66412177990172e+05 4.47413045365820e+00
Element   16 9.67126860424832e+05 4.47743916863348e+00
Element   17 9.71029354952818e+05 4.49550627292972e+00
Element   18 9.74846104240518e+05 4.51317640852092e+00
Element   19 9.85224146701934e+05 4.56122290139784e+00
Element   20 9.85054261354067e+05 4.56043639515772e+00
Element   21 9.74010305103011e+05 4.50930696806950e+00
Element   22 9.73249012957703e+05 4.50578246739677e+00
Element   23 9.73412668488512e+05 4.50654013189126e+00
Element   24 9.76260970556751e+05 4.51972671554051e+00
Element   25 9.61907305069809e+05 4.45327456050838e+00
Element   26 9.47529800772891e+05 4.38671204061523e+00
Element   27 9.43342360302909e+05 4.36732574214310e+00
Element   28 9.24430753128520e+05 4.27977200522463e+00
Element   29 9.10619131074308e+05 4.21582931052920e+00
Element   30 9.01598337373342e+05 4.17406637672844e+00
Element   31 8.83390804344970e+05 4.08977224233782e+00
Element   32 8.58426205614098e+05 3.97419539636157e+00
Element   33 8.26038180427909e+05 3.82425083531439e+00
Element   34 7.93482363352778e+05 3.67352945996656e+00
Element   35 7.55949008509094e+05 3.49976392828284e+00
Element   36 7.13963014548488e+05 3.30538432661337e+00
Element   37 6.69355746445960e+05 3.09886919650907e+00
Element   38 6.04027709790445e+05 2.79642458236317e+00
Element   39 5.15203866224991e+05 2.38520308437496e+00
