Element    0
Vertex 0 z 0
Moment 0
Group   0 0.513342
Group   1 0.00852207
Group   2 0.00718319
Group   3 0.00379737
Group   4 0.00178534
Group   5 0.00130941
Group   6 0.00179734
Group   7 0.0030416
Group   8 0.00507986
Group   9 0.00703579
Group  10 0.00381835
Group  11 0.00367953
Group  12 0.00589545
Group  13 0.00360531
Group  14 0.00143849
Group  15 0.00101
Group  16 0.00206755
Group  17 0.00159455
Group  18 0.000374391
Group  19 0.00052625
Group  20 0.000138924
Group  21 0.000101646
Group  22 0.0068981
Group  23 0.0077513
Group  24 0.000617551
Group  25 0.000497563
Group  26 0.00430013
Group  27 0.00508358
Group  28 0.00193812
Group  29 0.00218518
Group  30 0.014403
Group  31 0.017757
Group  32 0.00881687
Group  33 0.00630817
Group  34 0.00108864
Group  35 0.00116315
Group  36 0.000504046
Group  37 0.000634855
Group  38 0.000329689
Group  39 0.000337979
Group  40 5.72416e-06
Group  41 1.0246e-05
Group  42 0.00700712
Group  43 0.0081105
Group  44 6.82226e-05
Group  45 3.76275e-05
Group  46 2.08848e-05
Group  47 4.65324e-05
Group  48 0.0127412
Group  49 0.0128032
Group  50 0.0122892
Group  51 0.00900064
Group  52 0.00669194
Group  53 0.00499031
Group  54 0.00391538
Group  55 0.0032017
Group  56 0.00271979
Group  57 0.00237535
Group  58 0.00211414
Group  59 0.00190474
Group  60 0.00173011
Group  61 0.0015812
Group  62 0.00145153
Group  63 0.00133655
Group  64 0.00123353
Group  65 0.00114037
Group  66 0.00105566
Group  67 0.000978247
Group  68 0.000907143
Group  69 0.000842084
Group  70 0.000165515
Group  71 0.000188964
Group  72 0.000210691
Group  73 0.000242002
Group  74 0.000155549
Group  75 0.000173149
Group  76 0.000195971
Group  77 0.000226259
Group  78 0.000145046
Group  79 0.00016202
Group  80 0.000183944
Group  81 0.000213673
Group  82 0.00013775
Group  83 0.000154538
Group  84 0.000176448
Group  85 0.000206384
Group  86 0.000133948
Group  87 0.000151387
Group  88 0.000174411
Group  89 0.000206646
Group  90 8.76441e-05
Group  91 9.55309e-05
Group  92 0.00010479
Group  93 0.000116357
Group  94 7.14232e-05
Group  95 7.67581e-05
Group  96 8.31108e-05
Group  97 9.06414e-05
Group  98 7.71617e-05
Group  99 8.3915e-05
Group 100 9.22352e-05
Group 101 0.000102675
Group 102 8.68216e-05
Group 103 9.6457e-05
Group 104 0.000107979
Group 105 0.000122054
Group 106 0.000108406
Group 107 0.000122341
Group 108 0.000139398
Group 109 0.000157209
Group 110 8.76192e-05
Group 111 9.35942e-05
Group 112 0.000102875
Group 113 0.000110584
Group 114 7.09083e-05
Group 115 7.46442e-05
Group 116 7.79591e-05
Group 117 8.14558e-05
Group 118 5.88537e-05
Group 119 6.00154e-05
Group 120 6.02827e-05
Group 121 6.40873e-05
Group 122 0.000227606
Group 123 0.000209611
Group 124 0.000192146
Group 125 0.000178847
Group 126 0.000168958
Group 127 0.000154983
Group 128 0.000155193
Group 129 0.00014138
Group 130 0.000132061
Group 131 0.000135513
Group 132 0.000134689
Group 133 0.000133136
Group 134 0.000125422
Group 135 0.000127446
Group 136 0.000117922
Group 137 0.000100332
Group 138 1.03904e-05
Group 139 0.00011935
