PDT Format Material Data File created Mon Nov 19 17:50:57 2018

This file is a multigroup neutron library generated from barnfire.
1 temperatures, 1 densities, and 146 groups.

16 neutron processes and 11 transfer processes.
Scattering order 5

Microscopic cross sections are in units of barns.

Temperatures in Kelvin:
         296.15

Densities in g/cc:
              0

Group boundaries in eV:
       1.42e+07        1.4e+07        1.3e+07        1.2e+07        1.1e+07
       1.05e+07          1e+07        9500000        9000000        8500000
        8253920        7710930        7246870        6572500        6338750
        6276500        5430000        5354840        4942560        4801070
        4002300        3081250        2974940        2863120        2815120
        2813130        2087690        2078310        2070160        1000000
         562341         316228         177828         100000        56234.1
        31622.8        17782.8          10000        5623.41        3162.28
        1778.28           1000        562.341        316.228        177.828
            100        56.2341        31.6228        17.7828             10
        8.90582        7.81171        6.71756        5.62341        5.00813
        4.39285        3.77756        3.16228        2.81628        2.47028
        2.12428        1.77828        1.58371        1.38914        1.19457
              1       0.890585        0.78117       0.671756       0.562341
       0.521756       0.481171       0.440585            0.4        0.37725
         0.3545        0.33175          0.309        0.29125         0.2735
        0.25575          0.238         0.2245          0.211         0.1975
          0.184         0.1735          0.163         0.1525          0.142
        0.13675         0.1315        0.12625          0.121        0.11775
         0.1145        0.11125          0.108         0.1058         0.1036
         0.1014         0.0992          0.092          0.086         0.0809
         0.0764         0.0723         0.0687         0.0653         0.0622
         0.0593         0.0566          0.054         0.0516         0.0493
          0.047         0.0449      0.0429973         0.0428         0.0408
         0.0389          0.037         0.0351         0.0333         0.0315
      0.0299463         0.0297          0.028         0.0263         0.0245
         0.0228          0.021      0.0208353         0.0192         0.0174
         0.0155      0.0153687         0.0136      0.0135465         0.0114
        0.00906     0.00861545     0.00728878        0.00618     0.00497106
     0.00182202              0

T = 296.15 density = 0
---------------------------------------------------
MT 1099
          0.01418469          0.07410855          0.08004327          0.08701201          0.04652023
          0.04879053          0.05129347          0.05406746          0.05715857          0.02937801
          0.06804962          0.06206944          0.09767614          0.03621273         0.009869093
           0.1448748          0.01393832          0.08011792          0.02904482             0.18197
           0.2615352          0.03511157          0.03831195          0.01690706        0.0007071468
           0.2982426         0.004503129         0.003929165           0.7276351           0.5756556
            0.575654           0.5756558           0.5756551           0.5756561           0.5756541
           0.5756559           0.5756558           0.5756561           0.5756543           0.5756561
           0.5756559           0.5756561           0.5756543            0.575656           0.5756559
           0.5756561           0.5756543            0.575656           0.5756558            0.115882
           0.1310832           0.1509013           0.1777896           0.1158775           0.1310864
           0.1509023           0.1777879           0.1158782           0.1310874            0.150901
           0.1777892           0.1158781           0.1310874           0.1509009           0.1777892
           0.1158786           0.1310878              0.1509           0.1777896          0.07490952
          0.08097858          0.08812076          0.09664037          0.08896402            0.204318
           0.4673692            1.064404            1.702178            3.211224            6.034484
            11.28862            14.73862            23.55876             37.5128            59.46946
            69.14616            98.22779            138.9934            195.8043            125.7513
            148.6767            175.5068            206.8374            145.9661            161.2915
            178.0845            196.4661            144.2796            154.0451            164.3955
            175.3586            658.6407            661.5394            655.2148            657.6003
            670.3419            648.9986            668.1757            658.4238            660.2139
            654.3809            667.1659            648.5576            651.1902            680.1537
            646.0277            605.5422            63.87037            658.5974            643.8763
            660.5998            676.0578            653.3242            664.1952            580.6003
            92.56236            641.9828            645.7905            685.1143            645.2667
            677.5694            61.55932            605.7745            651.9765            665.0977
            44.89802            588.8277            17.30657            665.6107            649.5241
             112.735            313.2473            232.5762            219.6559            376.5503
            64.23609
MT 1
            1.319414            1.386553            1.377203            1.377233            1.323157
            1.135714            1.213863            1.269957            1.080583            1.184236
            1.897786            1.659708           0.7910666             1.12219            2.212775
            1.138798            1.492508            1.142611            1.307204            1.777314
            2.287671            1.322495            2.733869            2.182415            3.590843
            1.669843            3.636969            4.551594            2.097299            2.939915
            3.562403            4.009735       4.31911200156            4.483449            4.589995
            4.651817            4.687159            4.707258            4.719531       4.72810800156
       4.73297800312       4.73571400468       4.73725400624       4.73813301247       4.73864602183
       4.73731013692       4.73600065133       4.73377892272       4.72984056685       4.72646371242
       4.72488104093        4.7227236319       4.71968215059       4.72105457738       4.72669678822
       4.73148146634       4.73539306225       4.73749574011       4.73851287621       4.73937679301
       4.74015956882       4.74069325198       4.74114838575       4.74159548707       4.74220439098
       4.74257245421       4.74292483592       4.74353487106       4.74425793744       4.74476209533
       4.74510253021       4.74620665064       4.74647370223       4.74733439587       4.74800117175
       4.74807761662        4.7500801104       4.74688712434       4.74762909245       4.74699223887
       4.74936783001       4.74703837423       4.74731650304        4.7524692896       4.76056993739
        4.7436170855       4.74959064994       4.74108910998       4.76323400029       4.75900456236
       4.79808142183       4.78515921753       4.76717242657       4.78407241184       4.79389103449
       4.82669991743       4.85402394892       4.82245975633       4.87393717977       4.87477393189
       4.78120807606       4.80192065218        4.7927577433       4.80633010625         4.843578563
       4.91472479591       4.96215294297       4.93586764687       5.01966438245       5.12480860382
       4.92145124408       4.91523120569        4.7235516552       4.87678614612       4.93874947212
       4.94454152502       5.09166937587       5.08780723254        4.6789582879       4.57402577935
       4.68863852066       4.84167509093       4.93166867541       5.02249261338       5.10402644258
       4.71193206839       4.69799142428       4.86598244281       5.05324177471       5.36058159176
       5.63548953447       5.78315964377       4.95323721814       5.17938633318       5.42086874384
       5.38635743483        4.0136792132       4.25641547408       3.50971730482       4.07657309632
       4.67256015024       4.34507659141       4.08254599148       4.49279924734       4.27219021133
       4.36898685435
MT 2
           0.8269217           0.9004884           0.8831087           0.8693467            0.788551
            0.643672           0.6746054           0.6975683            0.708624           0.8196584
